Date,Time,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Evaporating/Dissipating Stratiform,Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170616,190829,5,Organized,Mature,Convective,In Precip,SkewT may suggest In Cloud,Yes,,,No,No,Caribbean,No,,,,,,,,550.4,5128,400.9,7613.3,441,362.7,290.7,,,80.7,,,,,,,,,,,,,,,,,,,,,,,,11.9,231.7,,,,,,9986.1,,,
20170616,191455,5,Organized,Mature,Convective,In Precip,,,,,No,No,Caribbean,No,,,,,,,,566.5,4885.4,399.7,7620,437.3,357.1,--,,,82.3,,,,,,,,,,,,,,,,,,,,,,,,4.72,260.5,,,,,,9945.1,,,
20170616,192038,5,Organized,Mature,Convective,In Precip,Close to stratiform too,,,,No,No,Caribbean,No,,,,,,,,584.6,4646.5,400.8,7612.7,437.8,357.6,291.8,,,82.1,,,,,,,,,,,,,,,,,,,,,,,,2.64,215.9,,,,,,10008.4,,,
20170616,192625,5,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,990.2,338.5,968.1,536.9,580.4,4837.9,407.9,7609.5,445.4,350.5,294.4,87.8,84.9,85.9,85.3,234.9,225.6,460.4,-22.3,957.8,--,0.03,363.3,,83.8,52.7,136.4,-35.1,891.9,454.6,-2.06,588.6,,3.75,99,9.62,314.9,3.07,198.5,5.18,304.4,,,,10064.5,499.9,8.18,295.3
20170616,193323,5,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,560.1,5011.9,402.3,7618.1,439.7,355.7,294.2,,,87.4,,,,,,,,,,,,,,,,,,,,,,,,2.17,349.5,,,,,,10046.1,,,
20170616,194038,5,Organized,Mature,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,995.9,183.8,989.7,238.9,555.8,5093.9,403.5,7611,439.5,354.4,293.2,90,88.2,81.6,86.3,173.6,168.1,341.7,-3.1,960.8,--,0.41,960.1,,41.1,23.1,64.2,-34,916.2,393.5,-1,613.6,,1.82,122.3,11.52,344.3,9.76,234.7,9.74,296,,,,10069.1,496.8,15.16,310.9
20170616,205416,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,555.8,5022.2,399.7,7614.3,435.5,346.8,292.7,,,86.4,,,,,,,,,,,,,,,,,,,,,,,,17.33,222.3,,,,,,12253.8,,,
20170616,205632,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,563.6,4916,399.9,7607,431,348,289,,,85.9,,,,,,,,,,,,,,,,,,,,,,,,5.35,226.6,,,,,,12007,,,
20170616,210223,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,572.2,4835.7,401.6,7620.9,436.8,352,293.9,,,89.4,,,,,,,,,,,,,,,,,,,,,,,,12.46,157.1,,,,,,12258.8,,,
20170616,210440,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,567.8,4841.2,399.5,7611.8,433.4,352.4,291.1,,,82.3,,,,,,,,,,,,,,,,,,,,,,,,13.33,156.8,,,,,,12279.2,,,
